Condition;NO;Snippet;Snippet_base;number;version;AoI_size;OPTIMAL;bottom;left;right;top
clean;NEXP;-clean-v0;--v0;0;v0;1836;True;413;743;794;377
clean;STAT;-clean-v0;--v0;0;v0;22578;False;422;555;981;369
clean;WEXP;-clean-v0;--v0;0;v0;10428;False;417;739;976;373
confusing;NEXP;-obf-v0;--v0;0;v0;2304;True;413;781;845;377
confusing;STAT;-obf-v0;--v0;0;v0;27348;False;422;555;1071;369
confusing;WEXP;-obf-v0;--v0;0;v0;14388;False;417;739;1066;373
clean;NEXP;-clean-v1;--v1;0;v1;1836;True;413;743;794;377
clean;STAT;-clean-v1;--v1;0;v1;22578;False;422;555;981;369
clean;WEXP;-clean-v1;--v1;0;v1;10428;False;417;739;976;373
confusing;NEXP;-obf-v1;--v1;0;v1;2304;True;413;781;845;377
confusing;STAT;-obf-v1;--v1;0;v1;27984;False;422;555;1083;369
confusing;WEXP;-obf-v1;--v1;0;v1;14916;False;417;739;1078;373
clean;NEXP;-clean-v2;--v2;0;v2;1836;True;413;743;794;377
clean;STAT;-clean-v2;--v2;0;v2;22578;False;422;555;981;369
clean;WEXP;-clean-v2;--v2;0;v2;10428;False;417;739;976;373
confusing;NEXP;-obf-v2;--v2;0;v2;2304;True;413;781;845;377
confusing;STAT;-obf-v2;--v2;0;v2;27984;False;422;555;1083;369
confusing;WEXP;-obf-v2;--v2;0;v2;14916;False;417;739;1078;373
clean;NEXP;10-clean-v0;10--v0;10;v0;1170;True;410;692;731;380
clean;OP;10-clean-v0;10--v0;10;v0;608;False;353;555;587;334
clean;WEXP;10-clean-v0;10--v0;10;v0;4674;False;414;688;811;376
confusing;NEXP;10-obf-v0;10--v0;10;v0;1920;True;357;692;756;327
confusing;OP;10-obf-v0;10--v0;10;v0;589;False;353;696;727;334
confusing;WEXP;10-obf-v0;10--v0;10;v0;5624;False;361;688;836;323
clean;NEXP;10-clean-v1;10--v1;10;v1;1170;True;410;768;807;380
clean;OP;10-clean-v1;10--v1;10;v1;608;False;353;555;587;334
clean;WEXP;10-clean-v1;10--v1;10;v1;4674;False;414;688;811;376
confusing;NEXP;10-obf-v1;10--v1;10;v1;1950;True;357;768;833;327
confusing;OP;10-obf-v1;10--v1;10;v1;608;False;353;772;804;334
confusing;WEXP;10-obf-v1;10--v1;10;v1;5624;False;361;688;836;323
clean;NEXP;10-clean-v2;10--v2;10;v2;1170;True;410;692;731;380
clean;OP;10-clean-v2;10--v2;10;v2;608;False;353;555;587;334
clean;WEXP;10-clean-v2;10--v2;10;v2;4674;False;414;688;811;376
confusing;NEXP;10-obf-v2;10--v2;10;v2;1920;True;357;692;756;327
confusing;OP;10-obf-v2;10--v2;10;v2;589;False;353;696;727;334
confusing;WEXP;10-obf-v2;10--v2;10;v2;5624;False;361;688;836;323
clean;NEXP;11-clean-v0;11--v0;11;v0;1140;True;410;756;794;380
clean;OP;11-clean-v0;11--v0;11;v0;480;False;353;555;587;338
clean;WEXP;11-clean-v0;11--v0;11;v0;7084;False;417;739;900;373
confusing;NEXP;11-obf-v0;11--v0;11;v0;1920;True;357;756;820;327
confusing;OP;11-obf-v0;11--v0;11;v0;480;False;353;759;791;338
confusing;WEXP;11-obf-v0;11--v0;11;v0;8184;False;364;739;925;320
clean;NEXP;11-clean-v1;11--v1;11;v1;1140;True;410;756;794;380
clean;OP;11-clean-v1;11--v1;11;v1;480;False;353;555;587;338
clean;WEXP;11-clean-v1;11--v1;11;v1;7084;False;417;739;900;373
confusing;NEXP;11-obf-v1;11--v1;11;v1;1920;True;357;756;820;327
confusing;OP;11-obf-v1;11--v1;11;v1;480;False;353;759;791;338
confusing;WEXP;11-obf-v1;11--v1;11;v1;8184;False;364;739;925;320
clean;NEXP;11-clean-v2;11--v2;11;v2;1140;True;410;756;794;380
clean;OP;11-clean-v2;11--v2;11;v2;480;False;353;555;587;338
clean;WEXP;11-clean-v2;11--v2;11;v2;6512;False;417;739;887;373
confusing;NEXP;11-obf-v2;11--v2;11;v2;1920;True;357;756;820;327
confusing;OP;11-obf-v2;11--v2;11;v2;480;False;353;759;791;338
confusing;WEXP;11-obf-v2;11--v2;11;v2;7656;False;364;739;913;320
clean;NEXP;12-clean-v0;12--v0;12;v0;1170;True;410;768;807;380
clean;OP;12-clean-v0;12--v0;12;v0;480;False;353;555;587;338
clean;WEXP;12-clean-v0;12--v0;12;v0;4674;False;414;688;811;376
confusing;NEXP;12-obf-v0;12--v0;12;v0;1950;True;357;768;833;327
confusing;OP;12-obf-v0;12--v0;12;v0;480;False;353;772;804;338
confusing;WEXP;12-obf-v0;12--v0;12;v0;5624;False;361;688;836;323
clean;NEXP;12-clean-v1;12--v1;12;v1;1170;True;410;692;731;380
clean;OP;12-clean-v1;12--v1;12;v1;480;False;353;555;587;338
clean;WEXP;12-clean-v1;12--v1;12;v1;4674;False;414;688;811;376
confusing;NEXP;12-obf-v1;12--v1;12;v1;1920;True;357;692;756;327
confusing;OP;12-obf-v1;12--v1;12;v1;1311;False;353;696;753;330
confusing;WEXP;12-obf-v1;12--v1;12;v1;5624;False;361;688;836;323
clean;NEXP;12-clean-v2;12--v2;12;v2;1170;True;410;768;807;380
clean;OP;12-clean-v2;12--v2;12;v2;480;False;353;555;587;338
clean;WEXP;12-clean-v2;12--v2;12;v2;4674;False;414;688;811;376
confusing;NEXP;12-obf-v2;12--v2;12;v2;1950;True;357;768;833;327
confusing;OP;12-obf-v2;12--v2;12;v2;480;False;353;772;804;338
confusing;WEXP;12-obf-v2;12--v2;12;v2;5624;False;361;688;836;323
clean;NEXP;13-clean-v0;13--v0;13;v0;621;True;302;693;716;275
clean;WEXP;13-clean-v0;13--v0;13;v0;4180;False;308;688;798;270
confusing;NEXP;13-obf-v0;13--v0;13;v0;1170;True;357;692;731;327
confusing;WEXP;13-obf-v0;13--v0;13;v0;4674;False;361;688;811;323
clean;NEXP;13-clean-v1;13--v1;13;v1;594;True;302;770;792;275
clean;WEXP;13-clean-v1;13--v1;13;v1;4180;False;308;688;798;270
confusing;NEXP;13-obf-v1;13--v1;13;v1;1170;True;357;768;807;327
confusing;WEXP;13-obf-v1;13--v1;13;v1;4674;False;361;688;811;323
clean;NEXP;13-clean-v2;13--v2;13;v2;621;True;302;693;716;275
clean;WEXP;13-clean-v2;13--v2;13;v2;4180;False;308;688;798;270
confusing;NEXP;13-obf-v2;13--v2;13;v2;1170;True;357;692;731;327
confusing;WEXP;13-obf-v2;13--v2;13;v2;4674;False;361;688;811;323
clean;NEXP;14-clean-v0;14--v0;14;v0;594;True;302;770;792;275
clean;WEXP;14-clean-v0;14--v0;14;v0;4180;False;308;688;798;270
confusing;NEXP;14-obf-v0;14--v0;14;v0;1170;True;357;768;807;327
confusing;WEXP;14-obf-v0;14--v0;14;v0;4674;False;361;688;811;323
clean;NEXP;14-clean-v1;14--v1;14;v1;621;True;302;693;716;275
clean;WEXP;14-clean-v1;14--v1;14;v1;4180;False;308;688;798;270
confusing;NEXP;14-obf-v1;14--v1;14;v1;1170;True;357;692;731;327
confusing;WEXP;14-obf-v1;14--v1;14;v1;4674;False;361;688;811;323
clean;NEXP;14-clean-v2;14--v2;14;v2;621;True;302;693;716;275
clean;WEXP;14-clean-v2;14--v2;14;v2;4180;False;308;688;798;270
confusing;NEXP;14-obf-v2;14--v2;14;v2;1170;True;357;692;731;327
confusing;WEXP;14-obf-v2;14--v2;14;v2;4674;False;361;688;811;323
clean;NEXP;15-clean-v0;15--v0;15;v0;621;True;302;833;856;275
clean;WEXP;15-clean-v0;15--v0;15;v0;5130;False;308;727;862;270
confusing;NEXP;15-obf-v0;15--v0;15;v0;1170;True;357;832;871;327
confusing;WEXP;15-obf-v0;15--v0;15;v0;5586;False;361;727;874;323
clean;NEXP;15-clean-v1;15--v1;15;v1;621;True;302;846;869;275
clean;WEXP;15-clean-v1;15--v1;15;v1;5586;False;308;727;874;270
confusing;NEXP;15-obf-v1;15--v1;15;v1;1170;True;357;845;884;327
confusing;WEXP;15-obf-v1;15--v1;15;v1;6080;False;361;727;887;323
clean;NEXP;15-clean-v2;15--v2;15;v2;972;True;302;833;869;275
clean;WEXP;15-clean-v2;15--v2;15;v2;5586;False;308;727;874;270
confusing;NEXP;15-obf-v2;15--v2;15;v2;1170;True;357;832;871;327
confusing;WEXP;15-obf-v2;15--v2;15;v2;5586;False;361;727;874;323
clean;BLOCK;16-clean-v0;16--v0;16;v0;27610;True;692;579;830;582
confusing;BLOCK;16-obf-v0;16--v0;16;v0;26070;True;692;555;792;582
clean;BLOCK;16-clean-v1;16--v1;16;v1;27610;True;692;579;830;582
confusing;BLOCK;16-obf-v1;16--v1;16;v1;26070;True;692;555;792;582
clean;BLOCK;16-clean-v2;16--v2;16;v2;27610;True;692;579;830;582
confusing;BLOCK;16-obf-v2;16--v2;16;v2;26070;True;692;555;792;582
clean;STAT;17-clean-v0;17--v0;17;v0;3332;True;528;555;623;479
confusing;STAT;17-obf-v0;17--v0;17;v0;3822;True;528;583;661;479
clean;STAT;17-clean-v1;17--v1;17;v1;3332;True;528;555;623;479
confusing;STAT;17-obf-v1;17--v1;17;v1;3822;True;528;583;661;479
clean;STAT;17-clean-v2;17--v2;17;v2;3332;True;528;555;623;479
confusing;STAT;17-obf-v2;17--v2;17;v2;3822;True;528;583;661;479
clean;STAT;18-clean-v0;18--v0;18;v0;6321;True;475;583;712;426
confusing;STAT;18-obf-v0;18--v0;18;v0;5831;True;475;555;674;426
clean;STAT;18-clean-v1;18--v1;18;v1;6321;True;475;583;712;426
confusing;STAT;18-obf-v1;18--v1;18;v1;5831;True;475;555;674;426
clean;STAT;18-clean-v2;18--v2;18;v2;6321;True;475;583;712;426
confusing;STAT;18-obf-v2;18--v2;18;v2;5831;True;475;555;674;426
clean;NEXP;30-clean-v0;30--v0;30;v0;1140;True;357;756;794;327
clean;WEXP;30-clean-v0;30--v0;30;v0;7656;False;364;739;913;320
confusing;NEXP;30-obf-v0;30--v0;30;v0;3450;True;357;756;871;327
confusing;WEXP;30-obf-v0;30--v0;30;v0;10428;False;364;739;976;320
clean;NEXP;30-clean-v1;30--v1;30;v1;1140;True;357;756;794;327
clean;WEXP;30-clean-v1;30--v1;30;v1;7084;False;364;739;900;320
confusing;NEXP;30-obf-v1;30--v1;30;v1;3450;True;357;756;871;327
confusing;WEXP;30-obf-v1;30--v1;30;v1;10428;False;364;739;976;320
clean;NEXP;30-clean-v2;30--v2;30;v2;1140;True;357;756;794;327
clean;WEXP;30-clean-v2;30--v2;30;v2;7656;False;364;739;913;320
confusing;NEXP;30-obf-v2;30--v2;30;v2;3450;True;357;756;871;327
confusing;WEXP;30-obf-v2;30--v2;30;v2;11000;False;364;739;989;320
clean;NEXP;4-clean-v0;4--v0;4;v0;4608;False;360;705;833;324
clean;OP;4-clean-v0;4--v0;4;v0;551;True;356;759;778;327
clean;WEXP;4-clean-v0;4--v0;4;v0;9284;False;364;625;836;320
confusing;NEXP;4-obf-v0;4--v0;4;v0;3570;False;359;705;807;324
confusing;OP;4-obf-v0;4--v0;4;v0;522;True;356;747;765;327
confusing;WEXP;4-obf-v0;4--v0;4;v0;7998;False;363;625;811;320
clean;NEXP;4-clean-v1;4--v1;4;v1;4608;False;360;705;833;324
clean;OP;4-clean-v1;4--v1;4;v1;551;True;356;759;778;327
clean;WEXP;4-clean-v1;4--v1;4;v1;9284;False;364;625;836;320
confusing;NEXP;4-obf-v1;4--v1;4;v1;3570;False;359;705;807;324
confusing;OP;4-obf-v1;4--v1;4;v1;522;True;356;747;765;327
confusing;WEXP;4-obf-v1;4--v1;4;v1;7998;False;363;625;811;320
clean;NEXP;4-clean-v2;4--v2;4;v2;4608;False;360;705;833;324
clean;OP;4-clean-v2;4--v2;4;v2;380;True;353;759;778;333
clean;WEXP;4-clean-v2;4--v2;4;v2;9284;False;364;625;836;320
confusing;NEXP;4-obf-v2;4--v2;4;v2;3060;False;357;705;807;327
confusing;OP;4-obf-v2;4--v2;4;v2;360;True;353;747;765;333
confusing;WEXP;4-obf-v2;4--v2;4;v2;7068;False;361;625;811;323
clean;BLOCK;49-clean-v0;49--v0;49;v0;7316;False;373;555;679;314
clean;STAT;49-clean-v0;49--v0;49;v0;5831;True;368;555;674;319
confusing;BLOCK;49-obf-v0;49--v0;49;v0;13530;False;425;555;678;315
confusing;STAT;49-obf-v0;49--v0;49;v0;5220;True;419;556;672;374
clean;BLOCK;49-clean-v1;49--v1;49;v1;8083;False;373;555;692;314
clean;STAT;49-clean-v1;49--v1;49;v1;6468;True;368;555;687;319
confusing;BLOCK;49-obf-v1;49--v1;49;v1;14850;False;425;555;690;315
confusing;STAT;49-obf-v1;49--v1;49;v1;5805;True;419;556;685;374
clean;BLOCK;49-clean-v2;49--v2;49;v2;8083;False;373;555;692;314
clean;STAT;49-clean-v2;49--v2;49;v2;6468;True;368;555;687;319
confusing;BLOCK;49-obf-v2;49--v2;49;v2;14850;False;425;555;690;315
confusing;STAT;49-obf-v2;49--v2;49;v2;5805;True;419;556;685;374
clean;NEXP;5-clean-v0;5--v0;5;v0;9570;False;305;757;1047;272
clean;OP;5-clean-v0;5--v0;5;v0;736;True;300;1014;1046;277
clean;WEXP;5-clean-v0;5--v0;5;v0;25420;False;311;739;1359;270
confusing;NEXP;5-obf-v0;5--v0;5;v0;10428;False;305;757;1073;272
confusing;OP;5-obf-v0;5--v0;5;v0;713;True;300;1040;1071;277
confusing;WEXP;5-obf-v0;5--v0;5;v0;24887;False;311;739;1346;270
clean;NEXP;5-clean-v1;5--v1;5;v1;13072;False;308;1011;1355;270
clean;OP;5-clean-v1;5--v1;5;v1;896;True;302;1014;1046;274
clean;WEXP;5-clean-v1;5--v1;5;v1;25338;False;311;740;1358;270
confusing;NEXP;5-obf-v1;5--v1;5;v1;11628;False;308;1036;1342;270
confusing;OP;5-obf-v1;5--v1;5;v1;868;True;302;1040;1071;274
confusing;WEXP;5-obf-v1;5--v1;5;v1;24846;False;311;740;1346;270
clean;NEXP;5-clean-v2;5--v2;5;v2;9570;False;305;757;1047;272
clean;OP;5-clean-v2;5--v2;5;v2;736;True;300;1014;1046;277
clean;WEXP;5-clean-v2;5--v2;5;v2;25420;False;311;739;1359;270
confusing;NEXP;5-obf-v2;5--v2;5;v2;9999;False;305;757;1060;272
confusing;OP;5-obf-v2;5--v2;5;v2;713;True;300;1027;1058;277
confusing;WEXP;5-obf-v2;5--v2;5;v2;24354;False;311;739;1333;270
clean;OP;54-clean-v0;54--v0;54;v0;414;True;300;798;816;277
clean;WEXP;54-clean-v0;54--v0;54;v0;9006;False;308;688;925;270
confusing;OP;54-obf-v0;54--v0;54;v0;414;True;300;747;765;277
confusing;WEXP;54-obf-v0;54--v0;54;v0;4674;False;308;688;811;270
clean;OP;54-clean-v1;54--v1;54;v1;414;True;300;798;816;277
clean;WEXP;54-clean-v1;54--v1;54;v1;9006;False;308;688;925;270
confusing;OP;54-obf-v1;54--v1;54;v1;414;True;300;747;765;277
confusing;WEXP;54-obf-v1;54--v1;54;v1;5130;False;308;688;823;270
clean;OP;54-clean-v2;54--v2;54;v2;414;True;300;798;816;277
clean;WEXP;54-clean-v2;54--v2;54;v2;9006;False;308;688;925;270
confusing;OP;54-obf-v2;54--v2;54;v2;437;True;300;734;753;277
confusing;WEXP;54-obf-v2;54--v2;54;v2;4180;False;308;688;798;270
clean;STAT;57-clean-v0;57--v0;57;v0;8008;True;368;1055;1209;316
confusing;STAT;57-obf-v0;57--v0;57;v0;3822;True;368;1055;1133;319
clean;STAT;57-clean-v1;57--v1;57;v1;8008;True;368;1055;1209;316
confusing;STAT;57-obf-v1;57--v1;57;v1;3822;True;368;1055;1133;319
clean;STAT;57-clean-v2;57--v2;57;v2;8008;True;368;1055;1209;316
confusing;STAT;57-obf-v2;57--v2;57;v2;3822;True;368;1055;1133;319
clean;NEXP;6-clean-v0;6--v0;6;v0;3240;False;466;934;1024;430
clean;OP;6-clean-v0;6--v0;6;v0;868;True;462;938;969;434
clean;WEXP;6-clean-v0;6--v0;6;v0;13244;False;470;739;1040;426
confusing;NEXP;6-obf-v0;6--v0;6;v0;3204;False;466;909;998;430
confusing;OP;6-obf-v0;6--v0;6;v0;896;True;462;912;944;434
confusing;WEXP;6-obf-v0;6--v0;6;v0;12144;False;470;739;1015;426
clean;NEXP;6-clean-v1;6--v1;6;v1;2790;False;464;934;1024;433
clean;OP;6-clean-v1;6--v1;6;v1;713;True;460;938;969;437
clean;WEXP;6-clean-v1;6--v1;6;v1;13244;False;470;739;1040;426
confusing;NEXP;6-obf-v1;6--v1;6;v1;2759;False;464;909;998;433
confusing;OP;6-obf-v1;6--v1;6;v1;736;True;460;912;944;437
confusing;WEXP;6-obf-v1;6--v1;6;v1;12144;False;470;739;1015;426
clean;NEXP;6-clean-v2;6--v2;6;v2;3240;False;466;947;1037;430
clean;OP;6-clean-v2;6--v2;6;v2;896;True;462;950;982;434
clean;WEXP;6-clean-v2;6--v2;6;v2;13816;False;470;739;1053;426
confusing;NEXP;6-obf-v2;6--v2;6;v2;3240;False;466;921;1011;430
confusing;OP;6-obf-v2;6--v2;6;v2;896;True;462;925;957;434
confusing;WEXP;6-obf-v2;6--v2;6;v2;12672;False;470;739;1027;426
clean;NEXP;60-clean-v0;60--v0;60;v0;5976;True;360;807;973;324
clean;WEXP;60-clean-v0;60--v0;60;v0;12375;False;365;701;976;320
confusing;NEXP;60-obf-v0;60--v0;60;v0;1140;True;357;807;845;327
confusing;WEXP;60-obf-v0;60--v0;60;v0;6660;False;365;701;849;320
clean;NEXP;60-clean-v1;60--v1;60;v1;5976;True;360;807;973;324
clean;WEXP;60-clean-v1;60--v1;60;v1;12375;False;365;701;976;320
confusing;NEXP;60-obf-v1;60--v1;60;v1;1140;True;357;807;845;327
confusing;WEXP;60-obf-v1;60--v1;60;v1;6660;False;365;701;849;320
clean;NEXP;60-clean-v2;60--v2;60;v2;5976;True;360;807;973;324
clean;WEXP;60-clean-v2;60--v2;60;v2;12375;False;365;701;976;320
confusing;NEXP;60-obf-v2;60--v2;60;v2;1140;True;357;807;845;327
confusing;WEXP;60-obf-v2;60--v2;60;v2;6660;False;365;701;849;320
clean;STAT;61-clean-v0;61--v0;61;v0;5831;True;475;555;674;426
confusing;STAT;61-obf-v0;61--v0;61;v0;6321;True;475;583;712;426
clean;STAT;61-clean-v1;61--v1;61;v1;7105;True;475;555;700;426
confusing;STAT;61-obf-v1;61--v1;61;v1;7595;True;475;583;738;426
clean;STAT;61-clean-v2;61--v2;61;v2;6468;True;475;555;687;426
confusing;STAT;61-obf-v2;61--v2;61;v2;6958;True;475;583;725;426
clean;STAT;62-clean-v0;62--v0;62;v0;9555;True;581;555;750;532
confusing;STAT;62-obf-v0;62--v0;62;v0;9506;True;581;583;777;532
clean;STAT;62-clean-v1;62--v1;62;v1;9555;True;581;555;750;532
confusing;STAT;62-obf-v1;62--v1;62;v1;10094;True;581;583;789;532
clean;STAT;62-clean-v2;62--v2;62;v2;9555;True;581;555;750;532
confusing;STAT;62-obf-v2;62--v2;62;v2;10094;True;581;583;789;532
clean;BLOCK;63-clean-v0;63--v0;63;v0;38868;True;743;579;816;579
confusing;BLOCK;63-obf-v0;63--v0;63;v0;38868;True;743;555;792;579
clean;BLOCK;63-clean-v1;63--v1;63;v1;40836;True;743;579;828;579
confusing;BLOCK;63-obf-v1;63--v1;63;v1;38868;True;743;555;792;579
clean;BLOCK;63-clean-v2;63--v2;63;v2;40836;True;743;579;828;579
confusing;BLOCK;63-obf-v2;63--v2;63;v2;41000;True;743;555;805;579
clean;NEXP;7-clean-v0;7--v0;7;v0;1170;True;357;768;807;327
clean;OP;7-clean-v0;7--v0;7;v0;620;False;407;581;612;387
clean;WEXP;7-clean-v0;7--v0;7;v0;4674;False;361;688;811;323
confusing;NEXP;7-obf-v0;7--v0;7;v0;1950;True;357;768;833;327
confusing;OP;7-obf-v0;7--v0;7;v0;589;False;353;798;829;334
confusing;WEXP;7-obf-v0;7--v0;7;v0;5624;False;361;688;836;323
clean;NEXP;7-clean-v1;7--v1;7;v1;1170;True;357;692;731;327
clean;OP;7-clean-v1;7--v1;7;v1;620;False;407;581;612;387
clean;WEXP;7-clean-v1;7--v1;7;v1;4674;False;361;688;811;323
confusing;NEXP;7-obf-v1;7--v1;7;v1;1920;True;357;692;756;327
confusing;OP;7-obf-v1;7--v1;7;v1;608;False;353;721;753;334
confusing;WEXP;7-obf-v1;7--v1;7;v1;5624;False;361;688;836;323
clean;NEXP;7-clean-v2;7--v2;7;v2;1170;True;357;768;807;327
clean;OP;7-clean-v2;7--v2;7;v2;620;False;407;581;612;387
clean;WEXP;7-clean-v2;7--v2;7;v2;4674;False;361;688;811;323
confusing;NEXP;7-obf-v2;7--v2;7;v2;1950;True;357;768;833;327
confusing;OP;7-obf-v2;7--v2;7;v2;589;False;353;798;829;334
confusing;WEXP;7-obf-v2;7--v2;7;v2;5624;False;361;688;836;323
clean;NEXP;8-clean-v0;8--v0;8;v0;1140;True;357;756;794;327
clean;OP;8-clean-v0;8--v0;8;v0;620;False;407;581;612;387
clean;WEXP;8-clean-v0;8--v0;8;v0;7084;False;364;739;900;320
confusing;NEXP;8-obf-v0;8--v0;8;v0;1920;True;357;756;820;327
confusing;OP;8-obf-v0;8--v0;8;v0;589;False;353;785;816;334
confusing;WEXP;8-obf-v0;8--v0;8;v0;8184;False;364;739;925;320
clean;NEXP;8-clean-v1;8--v1;8;v1;1140;True;357;756;794;327
clean;OP;8-clean-v1;8--v1;8;v1;620;False;407;581;612;387
clean;WEXP;8-clean-v1;8--v1;8;v1;6512;False;364;739;887;320
confusing;NEXP;8-obf-v1;8--v1;8;v1;1920;True;357;756;820;327
confusing;OP;8-obf-v1;8--v1;8;v1;589;False;353;785;816;334
confusing;WEXP;8-obf-v1;8--v1;8;v1;7656;False;364;739;913;320
clean;NEXP;8-clean-v2;8--v2;8;v2;1140;True;357;756;794;327
clean;OP;8-clean-v2;8--v2;8;v2;620;False;407;581;612;387
clean;WEXP;8-clean-v2;8--v2;8;v2;7084;False;364;739;900;320
confusing;NEXP;8-obf-v2;8--v2;8;v2;1920;True;357;756;820;327
confusing;OP;8-obf-v2;8--v2;8;v2;589;False;353;785;816;334
confusing;WEXP;8-obf-v2;8--v2;8;v2;8184;False;364;739;925;320
clean;NEXP;9-clean-v0;9--v0;9;v0;1140;True;357;756;794;327
clean;OP;9-clean-v0;9--v0;9;v0;496;False;407;581;612;391
clean;WEXP;9-clean-v0;9--v0;9;v0;7084;False;364;739;900;320
confusing;NEXP;9-obf-v0;9--v0;9;v0;1920;True;357;756;820;327
confusing;OP;9-obf-v0;9--v0;9;v0;465;False;353;785;816;338
confusing;WEXP;9-obf-v0;9--v0;9;v0;8184;False;364;739;925;320
clean;NEXP;9-clean-v1;9--v1;9;v1;1140;True;357;756;794;327
clean;OP;9-clean-v1;9--v1;9;v1;496;False;407;581;612;391
clean;WEXP;9-clean-v1;9--v1;9;v1;6512;False;364;739;887;320
confusing;NEXP;9-obf-v1;9--v1;9;v1;1920;True;357;756;820;327
confusing;OP;9-obf-v1;9--v1;9;v1;465;False;353;785;816;338
confusing;WEXP;9-obf-v1;9--v1;9;v1;7656;False;364;739;913;320
clean;NEXP;9-clean-v2;9--v2;9;v2;1140;True;357;756;794;327
clean;OP;9-clean-v2;9--v2;9;v2;496;False;407;581;612;391
clean;WEXP;9-clean-v2;9--v2;9;v2;7084;False;364;739;900;320
confusing;NEXP;9-obf-v2;9--v2;9;v2;1920;True;357;756;820;327
confusing;OP;9-obf-v2;9--v2;9;v2;465;False;353;785;816;338
confusing;WEXP;9-obf-v2;9--v2;9;v2;8184;False;364;739;925;320
